week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
9,NOR,34,34,4,282,282,0,0,2,5,29,282,4,123,187,159,18.7891248490661
9,NWE,34,34,0,274,274,0,0,4,7,27,274,0,106,281,168,14.0105685655226
9,NYG,33,33,1,212,212,0,0,3,10,23,212,1,90,161,122,9.28138103051587
9,NYJ,24,24,3,262,262,1,0,2,5,18,262,3,97,310,165,15.9986288583031
9,PIT,45,45,3,309,309,0,0,2,14,31,309,3,185,328,124,10.6742820472319
9,SEA,40,40,2,390,390,2,0,5,10,28,390,2,145,379,245,15.4342685648297
9,SFO,34,34,1,291,291,1,0,3,11,22,291,1,197,224,94,3.65713831678163
9,TAM,37,37,0,209,209,3,0,5,12,22,209,0,80,365,129,-17.6891206235859
9,TEN,21,21,2,158,158,0,0,3,11,10,158,2,78,215,80,3.35794035937641
9,WAS,39,39,1,387,387,3,0,4,7,29,387,1,277,147,110,4.33237067610269
10,ARI,32,32,1,245,245,1,0,1,9,22,245,1,96,231,149,6.76614286730487
10,BAL,34,34,2,249,249,1,0,0,9,24,249,2,145,259,104,5.50627058072186
10,BUF,45,45,3,296,296,2,0,2,10,33,296,3,166,304,130,5.90743691280356
10,CAR,28,28,2,148,148,1,0,5,7,20,148,2,79,195,69,-4.31645639588442
10,CHI,29,29,0,124,124,1,0,8,12,16,124,0,59,236,65,-10.8218117415075
10,CIN,38,38,1,213,213,0,0,5,17,21,213,1,107,341,106,-9.22981347012052
10,CLE,19,19,0,132,132,0,0,1,7,12,132,0,55,165,77,1.56292108353227
10,DEN,45,45,1,257,257,4,0,4,18,23,257,1,64,393,193,-13.1061839909487
10,DET,32,32,3,276,276,0,0,0,8,24,276,3,146,214,128,13.6419977736944
10,GNB,33,33,2,325,325,1,0,1,8,24,325,2,237,199,88,3.70304743460371
10,HOU,28,28,1,163,163,0,0,1,8,20,163,1,92,184,71,5.10339889319651
10,IND,36,36,1,308,308,0,0,0,7,29,308,1,205,191,103,17.2452519164413
10,JAC,34,34,1,169,169,1,0,1,15,18,169,1,92,192,77,-7.44608356815801
10,LAC,32,32,2,187,187,1,0,6,11,20,187,2,132,229,55,-2.37317120132502
10,LAR,36,36,0,302,302,0,0,2,9,27,302,0,162,277,140,13.6650376257462
10,LVR,22,22,0,154,154,0,0,0,6,16,154,0,64,213,90,6.61896256958084
10,MIA,24,24,2,169,169,0,0,1,9,15,169,2,44,261,125,9.95664063996269
10,MIN,32,32,2,292,292,1,0,2,6,25,292,2,147,241,145,9.61071036754969
10,NOR,23,23,1,139,139,0,0,2,9,14,139,1,116,103,23,1.69439652424182
10,NWE,17,17,2,142,142,0,0,2,3,14,142,2,66,103,76,10.0275066770751
10,NYG,28,28,0,244,244,0,0,4,7,21,244,0,59,237,185,10.298625083769
10,PHI,36,36,0,208,208,0,0,9,15,21,208,0,79,328,129,1.47867343282841
10,PIT,46,46,4,333,333,0,0,8,19,27,319,4,138,431,181,11.5576934172931
10,SEA,35,35,0,248,248,2,0,7,11,22,248,0,143,346,105,1.57062597834949
10,SFO,39,39,1,247,247,2,0,6,13,24,247,1,121,264,126,2.26616832462059
10,TAM,38,38,3,341,341,0,0,5,10,28,341,3,168,315,173,25.044648483693
10,TEN,27,27,1,147,147,0,0,4,12,15,147,1,76,197,71,-1.53985963357437
10,WAS,52,52,0,390,390,0,0,5,14,38,390,0,197,315,193,16.9959439619956
11,ARI,39,39,2,269,269,0,0,3,10,29,269,2,136,268,133,17.9324390539841
11,ATL,34,34,0,232,232,1,0,3,14,19,232,0,52,354,180,-1.28926299335979
11,BAL,28,28,1,186,186,1,0,0,10,17,186,1,104,278,82,7.91509734023919
11,CAR,35,35,1,258,258,2,0,1,9,24,258,1,123,235,135,-0.49710711500382
11,CIN,44,44,1,233,233,1,0,7,18,25,233,1,89,421,144,-0.740392051259574
11,CLE,18,18,0,204,204,0,0,0,6,12,204,0,42,260,162,9.58485708551598
11,DAL,31,31,3,203,203,1,0,1,8,22,203,3,80,202,123,2.15644227206206
11,DEN,30,30,0,270,270,1,0,4,11,18,270,0,140,341,130,1.51329411044602
11,DET,32,32,0,178,178,0,0,2,14,18,178,0,93,192,85,-2.85448325495236
11,GNB,35,35,3,311,311,1,0,0,7,27,311,3,134,288,177,4.02760119700209
11,HOU,37,37,2,344,344,0,0,2,9,28,344,2,167,314,177,20.1244893598025
11,IND,35,35,3,288,288,1,0,3,10,24,288,3,164,259,124,6.2237433942035
11,JAC,33,33,0,151,151,4,0,5,13,16,151,0,59,308,92,-19.625683491096
11,KAN,44,44,2,352,352,1,0,3,8,35,352,2,138,328,214,22.5682194199762
11,LAC,48,48,3,366,366,0,0,4,11,37,366,3,170,311,196,14.2943761232096
11,LAR,49,49,3,376,376,2,0,3,8,39,376,3,200,256,176,10.1537085319869
11,LVR,29,29,3,275,275,1,0,1,5,23,275,3,155,225,120,18.1269175741044
11,MIA,37,37,1,200,200,1,0,2,13,23,200,1,79,312,121,0.265515578852501
11,MIN,28,28,3,314,314,0,0,5,6,22,314,3,136,261,178,10.6520534052979
11,NOR,23,23,0,233,233,0,0,2,5,18,233,0,103,142,130,8.72842106422565
11,NWE,38,38,1,365,365,0,0,4,12,26,365,1,193,239,172,17.9721046692444
11,NYJ,28,28,3,205,205,1,0,6,12,15,205,2,44,367,161,1.3347469199216
11,PHI,34,34,3,235,235,2,0,6,11,21,235,2,105,247,130,-2.52086824333332
11,PIT,46,46,2,267,267,1,0,3,13,32,267,2,111,372,156,6.68169030187797
11,SEA,27,27,2,197,197,0,0,4,4,23,197,2,101,170,96,15.6933779558673
11,TAM,47,47,2,216,216,2,0,4,19,26,216,2,83,420,133,-7.77064256502399
11,TEN,32,32,2,266,266,1,0,6,8,23,266,2,139,200,127,14.7819292480979
11,WAS,24,24,1,166,166,1,0,3,6,17,166,1,97,139,69,0.555284715128386
12,ARI,34,34,0,170,170,1,0,3,10,23,170,0,75,229,95,0.957129792221539
12,ATL,37,37,2,185,185,1,0,6,14,22,185,2,100,220,85,0.611080547526691
12,BAL,18,18,2,110,110,1,0,2,8,9,110,1,83,136,27,-10.6964765151497
12,BUF,24,24,2,177,177,1,0,5,4,19,177,2,74,117,103,7.97051200407306
12,CAR,32,32,1,267,267,1,0,1,12,19,267,1,135,297,132,6.01096087441473
12,CHI,44,44,3,242,242,2,0,4,16,26,242,3,94,380,148,7.89435148324574
12,CIN,27,27,1,136,136,1,0,4,9,17,136,1,78,202,58,-10.9954758567463
12,CLE,27,27,2,258,258,0,0,0,8,19,258,2,117,209,141,11.9245665644693
12,DAL,34,34,2,215,215,1,0,2,8,25,215,1,72,209,143,-14.3930344576161
12,DEN,8,8,0,13,13,2,0,3,5,1,13,0,16,131,-3,-9.00488617952215
12,DET,42,42,2,295,295,1,0,4,13,28,295,1,162,330,133,3.52045054543493
12,GNB,29,29,4,211,211,0,0,0,8,21,211,4,122,244,89,15.3471270976006
12,HOU,23,23,4,318,318,0,0,1,6,17,318,4,115,282,203,22.7276463631132
12,IND,42,42,2,295,295,1,0,4,17,24,295,2,164,331,131,7.91209630481899
12,JAC,33,33,2,235,235,0,0,2,13,20,235,2,117,356,118,5.6745306151411
12,KAN,46,46,3,462,462,0,0,4,9,37,462,3,156,455,306,31.9544699241524
12,LAC,51,51,1,316,316,1,0,4,19,31,316,1,150,311,166,10.297545261652
12,LAR,30,30,1,198,198,2,0,4,9,19,198,0,125,251,73,-15.5084382535279
12,LVR,37,37,1,240,240,1,0,1,11,25,240,0,141,244,99,-7.98449970618596
12,MIA,39,39,2,257,257,0,0,4,15,24,257,2,104,275,153,12.1314958436111
12,MIN,43,43,3,307,307,0,0,6,9,34,307,3,78,353,229,14.9211895140294
12,NOR,14,14,0,78,78,1,0,1,4,9,78,0,46,103,32,-2.35674022004424
12,NWE,17,17,0,84,84,2,0,1,6,9,84,0,49,105,35,-8.09201634318742
12,NYG,37,37,0,244,244,0,0,3,15,22,244,0,57,327,187,2.48066160767847
12,NYJ,27,27,0,197,197,2,0,2,9,16,197,0,79,317,118,-6.59799437838358
12,PHI,42,42,2,221,221,1,0,5,15,26,221,2,110,324,111,-3.08131224420504
12,PIT,51,51,1,266,266,1,0,6,14,36,266,1,135,241,131,-4.71956412569005
12,SEA,30,30,1,230,230,0,0,4,8,22,230,1,89,241,141,5.00363396052148
12,SFO,34,34,0,252,252,1,0,4,9,24,252,0,175,172,77,-0.685032697123096
12,TAM,41,41,3,345,345,2,0,6,12,27,345,3,141,392,204,8.33345493961008
12,TEN,20,20,1,221,221,0,0,0,7,13,221,1,118,128,103,12.7155396112939
12,WAS,24,24,1,177,177,1,0,2,3,20,177,1,82,115,95,3.42115004462539
13,ARI,36,36,4,173,173,1,0,2,14,21,173,3,87,222,86,-0.574013974206735
13,ATL,37,37,1,273,273,0,0,5,18,19,273,1,56,395,217,-0.895729452040141
13,BAL,17,17,2,107,107,1,0,0,4,12,107,2,51,94,56,-4.60968197011326
13,BUF,37,37,4,375,375,0,0,1,5,32,375,4,129,272,246,24.2207183487094
13,CHI,33,33,1,267,267,0,0,0,7,26,267,1,150,212,117,14.2232231985545
13,CIN,27,27,1,193,193,2,0,5,8,17,193,1,155,162,38,-1.99301473623384
13,CLE,32,32,4,340,340,0,0,1,6,26,340,4,190,208,150,29.5648293995689
13,DAL,45,45,2,285,285,1,0,4,13,31,285,2,124,387,161,11.7287082307464
13,DEN,27,27,2,151,151,2,0,4,10,15,151,2,74,225,77,4.55467951884451
13,DET,41,41,3,402,402,1,0,1,13,27,402,3,68,524,334,20.1981699184689
13,GNB,32,32,3,295,295,0,0,4,7,25,295,3,133,318,162,18.6518553027467
13,HOU,37,37,0,341,341,1,0,3,10,26,341,0,106,391,235,9.51052951460712
13,IND,35,35,2,285,285,0,0,2,8,27,285,2,161,189,124,15.7657116626482
13,JAC,41,41,1,280,280,2,0,3,11,28,280,1,92,351,188,-1.04492549007877
13,KAN,40,40,1,318,318,0,0,3,15,25,318,1,152,378,166,7.46820730480409
13,LAC,52,52,0,209,209,2,0,8,24,26,209,0,129,324,80,-21.1961796752876
13,LAR,44,44,1,351,351,0,0,6,7,37,351,1,256,152,95,21.7328029777211
13,LVR,46,46,3,381,381,1,0,4,17,28,381,3,170,499,211,7.15686296208024
13,MIA,38,38,1,296,296,0,0,2,12,26,296,1,151,298,145,7.0197685755296
13,MIN,40,40,4,305,305,1,0,7,11,28,305,3,147,304,158,5.91624803663291
13,NOR,37,37,2,232,232,0,0,2,10,27,232,2,50,300,182,10.1908363312832
13,NWE,21,21,2,130,130,0,0,1,7,14,130,2,76,163,54,2.99317192501621
13,NYG,22,22,1,105,105,1,0,2,8,13,105,1,28,184,77,-5.50646562782683
13,NYJ,20,20,2,186,186,1,0,3,5,14,186,2,116,139,70,9.03651157199056
13,PHI,25,25,1,188,188,1,0,3,13,11,188,1,35,269,153,5.67192264229245
13,PIT,53,53,2,305,305,1,0,2,19,33,305,2,149,325,156,-2.34915004051629
13,SEA,41,41,1,263,263,1,0,3,13,27,263,1,108,306,155,0.489824307851317
13,SFO,39,39,3,316,316,2,0,7,11,26,316,3,133,266,183,8.83607405102918
13,TEN,42,42,4,389,389,1,0,1,12,29,389,3,132,437,257,19.6672982456221
13,WAS,44,44,1,296,296,0,0,5,13,31,296,1,168,264,128,5.98023929801933
14,ARI,32,32,1,244,244,0,0,2,8,24,244,1,128,179,116,8.16301703854351
14,ATL,32,32,2,263,263,3,0,4,7,22,263,2,111,327,152,7.18789811630268
14,BAL,19,19,1,176,176,0,0,0,7,12,176,1,62,211,114,11.2441370834713
14,BUF,42,42,2,238,238,1,0,5,17,24,238,2,130,455,108,-1.96596968103193
14,CAR,39,39,0,283,283,0,0,1,9,30,283,0,161,230,122,4.14819993829733
14,CHI,33,33,3,267,267,0,0,2,9,24,267,3,190,144,77,15.1153646760741
14,CIN,38,38,1,222,222,0,0,2,10,28,222,1,145,153,77,8.55233818391571
14,CLE,44,44,2,355,355,1,0,4,14,29,355,2,142,426,213,13.6296907503565
14,DAL,22,22,2,185,185,0,0,1,6,16,185,2,65,165,120,18.3446397219642
14,DEN,27,27,4,280,280,0,0,4,6,21,280,4,156,170,124,19.2741662542976
14,DET,38,38,1,273,273,0,0,2,11,27,273,1,155,244,118,10.9305276173144
14,GNB,31,31,3,290,290,0,0,0,5,26,290,3,171,199,119,19.7482172999298
14,HOU,27,27,1,219,219,0,0,3,6,21,219,1,122,182,97,13.453281389724
14,IND,27,27,2,244,244,0,0,1,8,19,244,2,105,251,139,16.5488982659541
14,JAC,49,49,1,263,263,1,0,1,17,31,263,1,129,416,134,-5.50651151988714
14,KAN,34,34,2,393,393,3,0,3,7,24,393,2,205,318,188,7.19557879091008
14,LAC,44,44,2,243,243,1,0,2,7,36,243,2,145,241,98,6.82008339596999
14,LAR,24,24,1,137,137,1,0,2,7,16,137,1,74,114,63,-1.70420447765021
14,LVR,45,45,3,345,345,2,0,2,11,32,345,2,159,318,186,1.55348755754796
14,MIA,46,46,2,316,316,1,0,4,17,28,316,2,110,471,206,9.74418932940301
14,MIN,35,35,1,225,225,0,0,5,11,24,225,1,126,234,99,15.3618788267062
14,NOR,37,37,2,291,291,1,0,7,8,28,291,2,113,239,178,11.852632395409
14,NWE,23,23,1,146,146,1,0,3,8,14,146,0,50,142,96,-15.4993512967987
14,NYG,24,24,0,145,145,0,0,3,11,13,145,0,30,271,115,2.32911718194373
14,NYJ,23,23,0,132,132,0,0,3,9,14,132,0,45,224,87,0.78859476195465
14,PHI,26,26,1,167,167,0,0,2,9,17,167,1,120,155,47,4.22282907200826
14,PIT,37,37,3,187,187,2,0,4,14,21,187,2,116,242,71,-11.8372078469838
14,SEA,32,32,4,239,239,1,0,2,6,25,239,4,105,227,134,15.7798597067886
14,SFO,44,44,2,260,260,1,0,7,18,25,257,1,128,268,129,-10.6653059121454
14,TAM,22,22,2,196,196,0,0,3,7,15,196,2,57,228,139,8.72786830403635
14,TEN,23,23,2,212,212,0,0,5,4,19,212,2,73,192,139,7.24221659732691
14,WAS,29,29,0,108,108,1,0,2,13,15,108,0,61,189,47,-12.5164542668342
15,ARI,37,37,3,432,432,1,0,0,8,28,432,3,177,364,255,12.4554349333962
15,ATL,48,48,3,356,356,0,0,1,14,34,356,3,119,417,237,9.1505530635902
15,BAL,26,26,3,250,250,1,0,1,6,19,250,3,97,254,153,9.16893734032987
15,BUF,38,38,2,359,359,0,0,5,10,28,359,2,118,392,241,28.4583585018117
15,CAR,34,34,0,258,258,0,0,2,13,21,258,0,141,243,117,4.44538640350325
15,CHI,21,21,1,202,202,1,0,1,5,15,202,1,99,167,103,7.74268259090303
15,CIN,13,13,1,89,89,0,0,4,6,7,89,1,24,179,65,1.8016189748887
15,CLE,30,30,2,297,297,0,0,0,3,27,297,2,107,227,190,23.4215578136209
15,DAL,32,32,2,221,221,0,0,1,12,20,221,2,148,187,73,4.84525536727425
15,DEN,32,32,1,132,132,0,0,1,12,20,132,1,64,125,68,-1.69961099746721
15,DET,37,37,1,307,307,1,0,4,9,27,307,1,112,353,195,17.5778857025687
15,GNB,26,26,1,143,143,0,0,0,6,20,143,1,106,124,37,1.79829706845339
15,HOU,38,38,2,373,373,0,0,1,5,33,373,2,140,293,233,21.668744755775
15,IND,29,29,2,228,228,0,0,2,7,22,228,2,103,199,125,10.5862354797509
15,JAC,27,27,2,226,226,0,0,2,5,22,226,2,90,222,136,14.2762323143543
15,KAN,44,44,3,254,254,0,0,6,18,26,254,3,128,405,126,10.743982326705
15,LAC,32,32,2,314,314,0,0,4,10,22,314,2,91,359,223,22.1656634076319
15,LAR,30,30,2,209,209,1,0,4,7,22,209,2,114,183,95,-5.17719178373875
15,LVR,30,30,1,279,279,1,0,1,9,20,279,1,103,305,176,11.8181795929127
15,MIA,25,25,0,145,145,1,0,1,4,20,145,0,77,98,68,0.941065852597765
15,MIN,30,30,2,271,271,0,0,5,6,24,271,2,144,160,127,12.9910172390561
15,NOR,33,33,3,234,234,1,0,5,17,15,234,3,139,248,95,1.49077316926559
15,NWE,25,25,0,209,209,0,0,0,8,17,209,0,87,223,122,1.90543895996585
15,NYG,32,32,0,221,221,0,0,3,13,19,221,0,85,298,136,2.4446099143249
15,NYJ,27,27,1,207,207,0,0,1,5,22,207,1,119,120,88,9.6902724461859
15,PHI,40,40,3,338,338,0,0,3,16,24,338,3,173,379,165,16.0346113770502
15,PIT,38,38,1,170,170,1,0,8,17,20,170,1,105,307,65,-11.8949458048919
15,SEA,26,26,1,121,121,1,0,3,7,18,121,1,59,120,62,-4.8979611973463
15,SFO,41,41,3,319,319,2,0,4,13,26,319,3,120,334,199,13.2011518948792
15,TAM,43,43,2,390,390,0,0,3,12,31,390,2,195,320,195,21.6146303223758
15,TEN,26,26,3,273,273,0,0,0,5,21,273,3,131,226,142,25.4528972423335
15,WAS,53,53,1,295,295,2,0,3,13,38,295,1,139,332,156,6.15943305926285
16,ARI,46,46,0,247,247,1,0,1,14,31,247,0,96,409,151,-15.6911677702056
16,ATL,34,34,2,300,300,0,0,7,7,27,300,2,145,233,155,11.2752786347181
16,BAL,23,23,2,183,183,0,0,3,6,17,183,2,66,173,117,12.172957140803
16,BUF,38,38,4,344,344,0,0,0,8,30,344,4,142,386,202,22.5489535017405
16,CAR,28,28,1,197,197,1,0,2,8,19,197,1,66,290,131,4.90799798961962
16,CHI,36,36,2,265,265,1,0,5,11,24,265,2,138,294,127,13.9433719598607
16,CIN,38,38,2,371,371,0,0,4,9,29,371,2,187,329,184,22.2563089726408
16,CLE,50,50,0,285,285,0,0,2,22,28,285,0,120,401,165,3.88915389504725
16,DAL,30,30,3,377,377,1,0,5,7,22,377,3,225,238,152,15.3075788136525
16,DEN,43,43,0,264,264,1,0,2,18,24,264,0,96,489,168,3.40755649261231
16,DET,30,30,0,152,152,1,0,7,8,21,152,0,89,158,63,-13.779309779522
16,GNB,24,24,4,231,231,1,0,0,2,21,231,4,108,158,123,14.1692077149928
16,HOU,33,33,3,324,324,0,0,5,9,24,302,3,116,339,186,8.70453613428422
16,IND,34,34,1,270,270,1,0,4,12,21,270,1,131,379,139,7.49274935183348
16,JAC,36,36,2,211,211,2,0,3,10,24,211,2,69,252,142,-0.542338482525553
16,KAN,42,42,2,278,278,2,0,4,16,24,278,2,170,311,108,-0.188354239742374
16,LAC,33,33,1,253,253,0,0,5,12,21,253,1,129,208,124,0.835151803849051
16,LAR,41,41,0,234,234,1,0,6,16,24,234,0,78,278,156,2.45252348190174
16,LVR,30,30,1,336,336,0,0,1,9,21,336,1,149,307,187,10.2184863019553
16,MIA,34,34,2,276,276,0,0,3,8,26,276,2,138,217,138,9.80493296614526
16,MIN,38,38,3,291,291,0,0,4,11,27,291,3,164,191,127,12.0810783036286
16,NOR,28,28,0,319,319,2,0,2,5,21,319,0,149,259,170,10.7953146902275
16,NWE,18,18,0,78,78,0,0,1,9,9,78,0,46,164,32,-3.33156896986382
16,NYG,41,41,1,252,252,0,0,5,17,24,252,1,108,386,144,2.98761450132074
16,NYJ,28,28,3,218,218,0,0,2,11,17,218,3,125,289,93,12.7606022222904
16,PHI,34,34,1,342,342,2,0,1,11,21,342,1,129,325,213,6.34772502382397
16,PIT,49,49,3,341,341,0,0,1,15,34,341,3,134,345,207,4.84612736548297
16,SEA,29,29,1,225,225,0,0,2,9,20,225,1,82,297,143,13.4617675661575
16,SFO,21,21,3,182,182,0,0,2,8,13,182,3,109,133,73,6.99878039429038
16,TAM,41,41,6,491,491,0,0,0,10,31,491,6,162,467,329,31.0894450812643
16,TEN,25,25,1,121,121,2,0,3,12,11,121,1,38,197,83,-6.77003681805218
16,WAS,47,47,1,291,291,2,0,4,19,26,291,1,170,490,121,-1.7923367205423
17,ARI,27,27,2,192,192,1,0,1,7,19,192,1,144,213,48,-5.26210374557136
17,ATL,41,41,2,265,265,0,0,5,12,29,265,2,125,219,140,12.3603796846027
17,BAL,19,19,3,121,121,1,0,2,7,11,121,3,45,191,76,7.50342579220887
17,BUF,37,37,4,388,388,2,0,1,11,24,388,4,115,459,273,18.6404871867271
17,CAR,36,36,0,271,271,5,0,3,13,18,271,0,46,502,225,-19.4218156401184
17,CHI,41,41,0,252,252,1,0,2,7,33,252,0,123,251,129,-6.3580885885607
17,CIN,20,20,0,48,48,2,0,1,12,6,48,0,33,158,15,-22.284686215194
17,CLE,26,26,1,196,196,0,0,0,9,17,196,1,60,222,136,10.4777328667288
17,DAL,44,44,0,244,244,1,0,2,14,29,244,0,126,229,118,0.440714108990505
17,DEN,40,40,2,339,339,0,0,1,15,25,339,2,216,286,123,9.69493517578487
17,DET,31,31,3,293,293,1,0,0,10,20,293,3,83,443,210,11.5470052952742
17,GNB,24,24,4,240,240,0,0,5,5,19,240,4,154,172,86,22.3048787513399
17,HOU,40,40,3,385,385,1,0,2,10,29,385,3,95,416,290,18.5957242898736
17,IND,26,26,1,164,164,1,0,1,8,17,164,1,117,164,47,-0.406478336316359
17,JAC,40,40,2,261,261,0,0,4,14,26,261,2,85,295,176,2.02496104093734
17,KAN,31,31,2,218,218,0,0,3,8,23,218,2,181,137,37,15.5747607976082
17,LAC,30,30,3,302,302,0,0,1,8,22,302,3,173,228,129,24.1538605595415
17,LAR,37,37,0,231,231,1,0,3,14,22,231,0,93,358,138,-0.913072834603001
17,LVR,35,35,2,371,371,2,0,2,9,24,371,2,123,364,248,7.58602746902034
17,MIA,59,59,2,393,393,3,0,3,20,36,393,1,215,440,178,-12.9382199137266
17,MIN,38,38,3,405,405,0,0,2,10,28,405,3,210,260,195,25.9083897356759
17,NOR,29,29,3,201,201,0,0,2,7,22,201,3,83,195,118,11.7350994520788
17,NWE,30,30,4,261,261,0,0,2,8,22,261,4,134,195,127,18.6335830695462
17,NYG,25,25,2,229,229,1,0,4,7,17,229,2,68,287,161,6.96249039087826
17,NYJ,33,33,1,266,266,2,0,3,8,23,266,1,157,241,109,5.779159053287
17,PHI,29,29,0,119,119,2,0,4,14,13,119,0,43,252,76,-11.2626896305883
17,PIT,42,42,2,317,317,1,0,3,15,26,317,2,108,407,209,11.8199417134108
17,SEA,32,32,2,181,181,0,0,2,12,20,181,2,114,286,67,6.69338109379713
17,SFO,35,35,1,273,273,0,0,3,10,25,273,1,102,262,171,17.0546363164266
17,TAM,38,38,4,399,399,1,0,1,11,26,399,4,184,432,215,26.2629158456325
17,TEN,27,27,1,216,216,0,0,6,9,18,216,1,62,306,154,12.7323275591144
17,WAS,29,29,2,162,162,2,0,2,5,22,162,2,97,77,65,-0.587209906042244
